Date,Adj Close
2016-01-01,433.989990234375
2016-01-02,433.7200012207031
2016-01-03,430.70001220703125
2016-01-04,433.32000732421875
2016-01-05,431.20001220703125
2016-01-06,430.82000732421875
2016-01-07,457.04998779296875
2016-01-08,452.8699951171875
2016-01-09,448.30999755859375
2016-01-10,446.19000244140625
2016-01-11,447.7200012207031
2016-01-12,445.0400085449219
2016-01-13,432.17999267578125
2016-01-14,429.1300048828125
2016-01-15,372.260009765625
2016-01-16,385.0400085449219
2016-01-17,382.4700012207031
2016-01-18,384.3999938964844
2016-01-19,379.4599914550781
2016-01-20,414.5799865722656
2016-01-21,410.239990234375
2016-01-22,382.6499938964844
2016-01-23,388.6099853515625
2016-01-24,402.1300048828125
2016-01-25,392.760009765625
2016-01-26,389.7799987792969
2016-01-27,395.0199890136719
2016-01-28,379.69000244140625
2016-01-29,380.2900085449219
2016-01-30,377.760009765625
2016-01-31,369.8399963378906
2016-02-01,372.17999267578125
2016-02-02,373.9200134277344
2016-02-03,368.0199890136719
2016-02-04,390.6499938964844
2016-02-05,386.4599914550781
2016-02-06,376.67999267578125
2016-02-07,377.94000244140625
2016-02-08,372.6300048828125
2016-02-09,375.32000732421875
2016-02-10,381.8800048828125
2016-02-11,379.45001220703125
2016-02-12,384.0400085449219
2016-02-13,390.1000061035156
2016-02-14,405.5
2016-02-15,401.07000732421875
2016-02-16,406.4200134277344
2016-02-17,417.1400146484375
2016-02-18,421.3999938964844
2016-02-19,419.9800109863281
2016-02-20,440.05999755859375
2016-02-21,437.8699951171875
2016-02-22,437.7900085449219
2016-02-23,419.8999938964844
2016-02-24,422.7200012207031
2016-02-25,423.4800109863281
2016-02-26,427.32000732421875
2016-02-27,431.29998779296875
2016-02-28,432.4700012207031
2016-02-29,436.2099914550781
2016-03-01,434.0400085449219
2016-03-02,425.3599853515625
2016-03-03,419.55999755859375
2016-03-04,409.4800109863281
2016-03-05,399.0
2016-03-06,405.9599914550781
2016-03-07,414.8699951171875
2016-03-08,411.8999938964844
2016-03-09,412.760009765625
2016-03-10,415.8299865722656
2016-03-11,419.1099853515625
2016-03-12,410.3599853515625
2016-03-13,412.4100036621094
2016-03-14,414.30999755859375
2016-03-15,415.1300048828125
2016-03-16,415.9100036621094
2016-03-17,418.1600036621094
2016-03-18,408.1600036621094
2016-03-19,408.69000244140625
2016-03-20,411.5299987792969
2016-03-21,411.1099853515625
2016-03-22,416.2099914550781
2016-03-23,416.9800109863281
2016-03-24,414.739990234375
2016-03-25,415.7099914550781
2016-03-26,416.510009765625
2016-03-27,424.57000732421875
2016-03-27,422.2099914550781
2016-03-28,415.0
2016-03-29,412.44000244140625
2016-03-30,415.6600036621094
2016-03-31,415.6400146484375
2016-04-01,418.510009765625
2016-04-02,419.05999755859375
2016-04-03,419.3299865722656
2016-04-04,422.07000732421875
2016-04-05,421.260009765625
2016-04-06,420.1400146484375
2016-04-07,417.69000244140625
2016-04-08,418.04998779296875
2016-04-09,420.25
2016-04-10,421.42999267578125
2016-04-11,424.739990234375
2016-04-12,423.4700012207031
2016-04-13,424.0199890136719
2016-04-14,428.6700134277344
2016-04-15,430.04998779296875
2016-04-16,426.260009765625
2016-04-17,427.69000244140625
2016-04-18,434.9200134277344
2016-04-19,441.1600036621094
2016-04-20,449.3399963378906
2016-04-21,445.2799987792969
2016-04-22,450.0799865722656
2016-04-23,457.55999755859375
2016-04-24,461.7300109863281
2016-04-25,466.0
2016-04-26,447.010009765625
2016-04-27,448.4800109863281
2016-04-28,454.9800109863281
2016-04-29,448.5299987792969
2016-04-30,452.239990234375
2016-05-01,444.17999267578125
2016-05-02,450.2699890136719
2016-05-03,445.79998779296875
2016-05-04,448.0799865722656
2016-05-05,459.55999755859375
2016-05-06,458.4599914550781
2016-05-07,457.8699951171875
2016-05-08,460.44000244140625
2016-05-09,449.3599853515625
2016-05-10,452.5
2016-05-11,454.42999267578125
2016-05-12,455.4100036621094
2016-05-13,456.44000244140625
2016-05-14,458.1099853515625
